"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","用具入れのゴミの中から","用具入れのゴミの中から","","False","maze_70009_00030049","",""
"","丸手鏡を見つけた。","丸手鏡を見つけた。","","False","maze_70009_00040049","",""
"","しかしカバンが満杯だったため、","しかしカバンが満杯だったため、","","False","maze_70009_00090049","",""
"","丸手鏡は館の倉庫に保管された。","丸手鏡は館の倉庫に保管された。","","False","maze_70009_000a0049","",""
"","使えそうな物を発見したが、","使えそうな物を発見したが、","","False","maze_70009_000c0049","",""
"","カバンも倉庫も満杯で入手できなかった。","カバンも倉庫も満杯で入手できなかった。","","False","maze_70009_000d0049","",""
"","『ようこそ、緑とロマンのフォレストへ』","上面写着","","False","maze_70011_00020049","",""
"","……と、書いてある。","『揭开大自然的神秘面纱，充满绿意和浪漫情调的森林欢迎你』","","False","maze_70011_00030049","",""
"","ゴミ箱の中から","ゴミ箱の中から","","False","maze_70012_00030049","",""
"","プラスチックの数珠を見つけた。","プラスチックの数珠を見つけた。","","False","maze_70012_00040049","",""
"","しかしカバンが満杯だったため、","しかしカバンが満杯だったため、","","False","maze_70012_00090049","",""
"","プラスチックの数珠は館の倉庫に保管された。","プラスチックの数珠は館の倉庫に保管された。","","False","maze_70012_000a0049","",""
"","使えそうな物を発見したが、","使えそうな物を発見したが、","","False","maze_70012_000c0049","",""
"","カバンも倉庫も満杯で入手できなかった。","カバンも倉庫も満杯で入手できなかった。","","False","maze_70012_000d0049","",""
"","木箱の中には","木箱の中には","","False","maze_70018_00030049","",""
"","バールが入っていた。","バールが入っていた。","","False","maze_70018_00040049","",""
"","しかしカバンが満杯だったため、","しかしカバンが満杯だったため、","","False","maze_70018_00090049","",""
"","バールは館の倉庫に保管された。","バールは館の倉庫に保管された。","","False","maze_70018_000a0049","",""
"","使えそうな物を発見したが、","使えそうな物を発見したが、","","False","maze_70018_000c0049","",""
"","カバンも倉庫も満杯で入手できなかった。","カバンも倉庫も満杯で入手できなかった。","","False","maze_70018_000d0049","",""
"","濃いやぶが続いている……","濃いやぶが続いている……","","False","maze_7001c_00020049","",""
"","この先には進めそうもない。","この先には進めそうもない。","","False","maze_7001c_00030049","",""
"","地蔵の足元に","地蔵の足元に","","False","maze_70025_00030049","",""
"","おやすみ家族が置いてあった。","おやすみ家族が置いてあった。","","False","maze_70025_00040049","",""
"","しかしカバンが満杯だったため、","しかしカバンが満杯だったため、","","False","maze_70025_00090049","",""
"","おやすみ家族は館の倉庫に保管された。","おやすみ家族は館の倉庫に保管された。","","False","maze_70025_000a0049","",""
"","使えそうな物を発見したが、","使えそうな物を発見したが、","","False","maze_70025_000c0049","",""
"","カバンも倉庫も満杯で入手できなかった。","カバンも倉庫も満杯で入手できなかった。","","False","maze_70025_000d0049","",""
"","『最近家族になった人たちは、","『最近家族になった人たちは、","","False","maze_70027_00020049","",""
"","　みんな養蜂場に行ってもらいました。』","　みんな養蜂場に行ってもらいました。』","","False","maze_70027_00030049","",""
"","『養蜂場で蜂さんを怒らせてしまったら、","『養蜂場で蜂さんを怒らせてしまったら、","","False","maze_70027_00050049","",""
"","　巣箱の向きに気を付けましょう。』","　巣箱の向きに気を付けましょう。』","","False","maze_70027_00060049","",""
"","『蜂さんは、太陽と共にめざめ、","『蜂さんは、太陽と共にめざめ、","","False","maze_70027_00080049","",""
"","　動きが活発になるからです。』","　動きが活発になるからです。』","","False","maze_70027_00090049","",""
"","階段を下った。","我沿着楼梯向下走去。","","False","maze_70043_00020049","",""
"","階段を下った。","我沿着楼梯向下走去。","","False","maze_70044_00020049","",""
"","階段を上った。","我沿着楼梯向上走去。","","False","maze_70045_00020049","",""
"","階段を上った。","我沿着楼梯向上走去。","","False","maze_70046_00020049","",""
"","下駄箱は傷みが激しく、砂と埃が表面を覆っている。","鞋柜磨损严重，表面覆盖着沙子和灰尘。","","False","maze_70047_00020049","",""
"","天井は薄汚れており、","天花板有点脏，","","False","maze_70048_00020049","",""
"","設置されている蛍光灯は割れてしまっている。","上面装着的荧光灯已经破了。","","False","maze_70048_00030049","",""
"","下駄箱の前には簀の子が敷かれているが、","鞋柜前铺着木板，","","False","maze_70049_00030049","",""
"","壊れてしまっており、踏むとギシリと音がした。","不过都已经损坏了，踩上去会发出吱呀的声音。","","False","maze_70049_00040049","",""
"","割れた窓からは身を切るような","破碎的窗户中吹进来几乎","","False","maze_7004c_00020049","",""
"","冷たく鋭い風が入り込んでくる。","能割破身体的凛冽寒风。","","False","maze_7004c_00030049","",""
"","なにかが蛍光灯にぶつかったのか、","估计是被什么东西撞过吧，","","False","maze_7004d_00020049","",""
"","蛍光灯は無残に割れてしまっている。","荧光灯破碎得不成样子。","","False","maze_7004d_00030049","",""
"","床に敷き詰められていたタイルがはがれてしまい、","地上铺的地砖脱落了，","","False","maze_7004e_00020049","",""
"","コンクリートがむき出しになってしまっている。","里面的水泥露了出来。","","False","maze_7004e_00030049","",""
"","割れた窓からは身を切るような","破碎的窗户中吹进来几乎","","False","maze_70050_00020049","",""
"","冷たく鋭い風が入り込んでくる。","能割破身体的凛冽寒风。","","False","maze_70050_00030049","",""
"","天井の蛍光灯は電気が通っていないのか、","天花板上的荧光灯也许是没有通电的缘故，","","False","maze_70051_00020049","",""
"","光を放つことなく沈黙している。","没有亮，只是静静地暗着。","","False","maze_70051_00030049","",""
"","床は割れた窓から雨が入ってくるためか、","估计是有雨通过破掉的窗户打了进来，","","False","maze_70052_00020049","",""
"","冷たく湿っている。","地板很是湿冷。","","False","maze_70052_00030049","",""
"","壁と床の間から茨が伸び、室内を侵食している。","壁と床の間から茨が伸び、室内を侵食している。","","False","maze_70054_00020049","",""
"","天井は薄汚れており、","天花板有点脏，","","False","maze_70055_00020049","",""
"","設置されている蛍光灯は割れてしまっている。","上面装着的荧光灯已经破了。","","False","maze_70055_00030049","",""
"","興味本位に警報機のボタンを押してみたが、","興味本位に警報機のボタンを押してみたが、","","False","maze_70056_00020049","",""
"","壊れているようでなにも起こらなかった。","壊れているようでなにも起こらなかった。","","False","maze_70056_00030049","",""
"","壁と床の間から茨が伸び、室内を侵食している。","壁と床の間から茨が伸び、室内を侵食している。","","False","maze_70057_00020049","",""
"","天井は薄汚れており、","天花板有点脏，","","False","maze_70058_00020049","",""
"","設置されている蛍光灯は割れてしまっている。","上面装着的荧光灯已经破了。","","False","maze_70058_00030049","",""
"","興味本位に警報機のボタンを押してみたが、","興味本位に警報機のボタンを押してみたが、","","False","maze_70059_00020049","",""
"","壊れているようでなにも起こらなかった。","壊れているようでなにも起こらなかった。","","False","maze_70059_00030049","",""
"","扉は釘で打ちつけられているのか、","扉は釘で打ちつけられているのか、","","False","maze_7005a_00030049","",""
"","開こうとしてもビクともしない。","開こうとしてもビクともしない。","","False","maze_7005a_00040049","",""
"","歪んでしまっているのか、扉を開けようと","歪んでしまっているのか、扉を開けようと","","False","maze_7005b_00030049","",""
"","力をいくら入れても開くことはなかった。","力をいくら入れても開くことはなかった。","","False","maze_7005b_00040049","",""
"","歪んでしまっているのか、扉を開けようと","歪んでしまっているのか、扉を開けようと","","False","maze_7005c_00030049","",""
"","力をいくら入れても開くことはなかった。","力をいくら入れても開くことはなかった。","","False","maze_7005c_00040049","",""
"","扉は釘で打ちつけられているのか、","扉は釘で打ちつけられているのか、","","False","maze_7005d_00030049","",""
"","開こうとしてもビクともしない。","開こうとしてもビクともしない。","","False","maze_7005d_00040049","",""
"","天板に彫刻刀で落書きが幾つも彫られてる。","天板に彫刻刀で落書きが幾つも彫られてる。","","False","maze_7005e_00020049","",""
"","意味が内容のものはなさそうだ。","意味が内容のものはなさそうだ。","","False","maze_7005e_00030049","",""
"","壁には幾つも穴が開いている。今にも落ちてきそうな","壁には幾つも穴が開いている。今にも落ちてきそうな","","False","maze_7005f_00020049","",""
"","破片も見える。近づくのはやめておこう。","破片も見える。近づくのはやめておこう。","","False","maze_7005f_00030049","",""
"","大分埃が溜まっているのか、","想必是积了很多灰吧，","","False","maze_70060_00020049","",""
"","歩いた振動だけで埃が天井から落ちてきた。","走路的震动都让灰尘从天花板上掉了下来。","","False","maze_70060_00030049","",""
"","柱に開いた穴を除くとライトに反射して","柱に開いた穴を除くとライトに反射して","","False","maze_70061_00020049","",""
"","光るものが目に映った。","光るものが目に映った。","","False","maze_70061_00030049","",""
"","仮@7rダミーアイテムを入手","仮@7rダミーアイテムを入手","","False","maze_70061_00050049","",""
"","廊下と違い教室の中まではバラは伸びてきていない。","廊下と違い教室の中まではバラは伸びてきていない。","","False","maze_70062_00020049","",""
"","一体、あのバラは何なのだろうか？","一体、あのバラは何なのだろうか？","","False","maze_70062_00030049","",""
"","黒板には意味のない落書きが書かれている。","黑板上写满了毫无意义的涂鸦。","","False","maze_70064_00020049","",""
"","雨漏りでもをしているのだろうか。","也许是漏水了，","","False","maze_70065_00020049","",""
"","天井に所々シミが見える。","天花板上到处都是污渍。","","False","maze_70065_00030049","",""
"","廊下と違い教室の中まではバラは伸びてきていない。","廊下と違い教室の中まではバラは伸びてきていない。","","False","maze_70066_00020049","",""
"","一体、あのバラは何なのだろうか？","一体、あのバラは何なのだろうか？","","False","maze_70066_00030049","",""
"","植木は長らく水を与えられず、枯れてしまっている。","盆栽植物因为长时间没有浇水，已经枯萎了。","","False","maze_70067_00020049","",""
"","仮@7rチョーク入れの中には","仮@7rチョーク入れの中には","","False","maze_70068_00020049","",""
"","ダミーアイテムが入っていた。","ダミーアイテムが入っていた。","","False","maze_70068_00030049","",""
"","地面には壁から剥がれ落ちたであろう、","地上到处散落着应该是从墙壁上","","False","maze_70069_00020049","",""
"","コンクリートの破片が散らばっている。","脱落的水泥块。","","False","maze_70069_00030049","",""
"","床に転がった瓶から薬品らしき刺激臭を感じる。","床に転がった瓶から薬品らしき刺激臭を感じる。","","False","maze_7006a_00020049","",""
"","出来る限り吸い込まないように注意する必要がある。","出来る限り吸い込まないように注意する必要がある。","","False","maze_7006a_00030049","",""
"","ガラス戸を開き中を探ってみたが、","打开玻璃橱窗搜索了一番，","","False","maze_7006b_00030049","",""
"","目ぼしいものはなかった。","但里面并没有值得注意的东西。","","False","maze_7006b_00040049","",""
"","どうやら、教育日誌のようだ。","看起来是一本教学日志。","","False","maze_7006c_00030049","",""
"","紙の劣化と虫に食われて読める状態にない。","受纸张老化和虫蛀影响，已经没法读了。","","False","maze_7006c_00040049","",""
"","窓側の壁には焦げた跡がついている。","窗边的墙壁上有烧焦的痕迹。","","False","maze_7006d_00020049","",""
"","大分前に火災があったようだ。","看样子这里很久之前曾遭遇过火灾。","","False","maze_7006d_00030049","",""
"","仏像がある……","一尊佛像……","","False","maze_7007f_00020049","",""
"","首のない仏像には埃がつもり汚れている。","无头的佛像上沾满了灰尘。","","False","maze_7007f_00040049","",""
"","風化した人骨だ。","風化した人骨だ。","","False","maze_70094_00020049","",""
"","頸椎がねじ切られている……","頸椎がねじ切られている……","","False","maze_70094_00030049","",""
"","一体どんな死に方をしたら、","一体どんな死に方をしたら、","","False","maze_70094_00050049","",""
"","こんな有様になるのだろうか。","こんな有様になるのだろうか。","","False","maze_70094_00060049","",""
"","人骨が転がっている。","地上躺着一副人骨。","","False","maze_70095_00020049","",""
"","全身を打ち砕かれて死んだようだ。","看起来是全身骨头被击碎而死的。","","False","maze_70095_00030049","",""
"","風化した人骨だ。","風化した人骨だ。","","False","maze_70096_00020049","",""
"","頸椎がねじ切られている……","頸椎がねじ切られている……","","False","maze_70096_00030049","",""
"","一体どんな死に方をしたら、","一体どんな死に方をしたら、","","False","maze_70096_00050049","",""
"","こんな有様になるのだろうか。","こんな有様になるのだろうか。","","False","maze_70096_00060049","",""
"","人骨が転がっている。","地上躺着一副人骨。","","False","maze_70097_00020049","",""
"","全身を打ち砕かれて死んだようだ。","看起来是全身骨头被击碎而死的。","","False","maze_70097_00030049","",""
"","床に倒れている死体が残したのだろうか、","墙壁上有用血写成的字。","","False","maze_70098_00020049","",""
"","壁には血で文字が書かれている……","也许是倒在地上的这个尸体留下的吧……","","False","maze_70098_00030049","",""
"","文字は「愛……」と読める。","上面写的是“爱……”。","","False","maze_70098_00050049","",""
"","床に倒れている死体が残したのだろうか、","墙壁上有用血写成的字。","","False","maze_70099_00020049","",""
"","壁には血で文字が書かれている……","也许是倒在地上的这个尸体留下的吧……","","False","maze_70099_00030049","",""
"","文字は「愛……」と読める。","上面写的是“爱……”。","","False","maze_70099_00050049","",""
"","音楽室の扉には鍵が掛かっている。","音乐教室的门上着锁。","","False","maze_700b1_00050049","",""
"","音楽室の扉には鍵が掛かっている。","音乐教室的门上着锁。","","False","maze_700b2_00050049","",""
"","「あれ、向こうにもドアがある。","“咦，那边还有一扇门。","","False","maze_700b5_00030048","",""
"","　別の部屋につながってるみたいだね」","　看样子这里连着另一个房间呢。”","","False","maze_700b5_00040048","",""
"","「あっちにも扉がありますね……","“那边还有一扇门啊，","","False","maze_700b5_00070048","",""
"","　隣に部屋があるんでしょうか」","　隔壁是有个房间吗？”","","False","maze_700b5_00080048","",""
"","防火扉は錆びついて動かなかった。","防火门生锈了，拉不动。","","False","maze_700bf_00030049","",""
"","扉を開こうと引手に手をかけると","我把手放到门把手上打算开门，","","False","maze_700c1_00020049","",""
